Start City,End City,Route 1,Cost 1,Time 1,Route 2,Cost 2,Time 2,Route 3,Cost 3,Time 3,Route 4,Cost 4,Time 4,Route 5,Cost 5,Time 5
Chennai,Chittorgarh,Chennai(rail)Chittorgarh,75.00,2.64,Chennai(rail)Durg(rail)Chittorgarh,90.00,9.81,Chennai(rail)Suri(rail)Chittorgarh,93.00,10.56,Chennai(rail)Haringhata(rail)Chittorgarh,97.00,7.70,Chennai(rail)Ratnagiri(rail)Chittorgarh,102.00,11.94
Chennai,Ratnagiri,Chennai(rail)Ratnagiri,44.00,6.06,Chennai(rail)Haringhata(rail)Ratnagiri,105.00,7.62,Chennai(rail)Ranebennur(rail)Ratnagiri,108.00,10.19,Chennai(road)Gokak(road)Ratnagiri,121.00,5.78,Chennai(road)Surendranagar(road)Ratnagiri,132.00,9.59
Chennai,Goregaon,Chennai(rail)Ranebennur(rail)Goregaon,106.00,11.98,Chennai(rail)Huliyar(road)Goregaon,108.00,5.28,Chennai(rail)Mahuva(rail)Goregaon,110.00,8.18,Chennai(rail)Haringhata(rail)Goregaon,115.00,10.45,Chennai(rail)Kollam(rail)Goregaon,118.00,7.90
Chennai,Pindwara,Chennai(rail)Suri(rail)Pindwara,83.00,10.90,Chennai(rail)Medinipur(rail)Pindwara,87.00,7.16,Chennai(rail)Durg(rail)Pindwara,89.00,8.71,Chennai(rail)Ratnagiri(road)Pindwara,98.00,10.72,Chennai(rail)Kushtagi(road)Pindwara,107.00,9.22
Chennai,Raipur,Chennai(rail)Medinipur(rail)Raipur,84.00,10.34,Chennai(rail)Durg(rail)Raipur,85.00,8.44,Chennai(rail)Raipur,93.00,3.73,Chennai(rail)Huliyar(rail)Raipur,110.00,5.15,Chennai(road)Surendranagar(rail)Raipur,110.00,9.72
Chennai,Gokak,Chennai(road)Gokak,54.00,3.03,Chennai(rail)Haringhata(rail)Gokak,86.00,8.42,Chennai(rail)Suri(rail)Gokak,90.00,11.66,Chennai(rail)Kushtagi(rail)Gokak,113.00,11.94,Chennai(rail)Ranebennur(road)Gokak,113.00,9.48
Chennai,Lucknow,Chennai(road)Lucknow,72.00,3.87,Chennai(rail)Medinipur(rail)Lucknow,82.00,8.00,Chennai(road)Gokak(road)Lucknow,106.00,5.49,Chennai(rail)Huliyar(road)Lucknow,111.00,5.14,Chennai(rail)Kushtagi(road)Lucknow,113.00,8.89
Chennai,Delhi,Chennai(rail)Delhi,67.00,3.59,Chennai(rail)Medinipur(rail)Delhi,84.00,8.20,Chennai(rail)Kushtagi(rail)Delhi,95.00,9.59,Chennai(rail)Karaikal(rail)Delhi,97.00,10.34,Chennai(rail)Ratnagiri(road)Delhi,128.00,11.94
Chennai,Mumbai,Chennai(rail)Haringhata(rail)Mumbai,98.00,9.41,Chennai(rail)Karaikal(road)Mumbai,103.00,8.35,Chennai(rail)Ranebennur(road)Mumbai,112.00,9.65,Chennai(rail)Medinipur(rail)Mumbai,127.00,7.95,Chennai(rail)Suri(rail)Mumbai,128.00,9.47
Chennai,Sagar,Chennai(rail)Ratnagiri(rail)Sagar,87.00,8.82,Chennai(rail)Sagar,91.00,4.34,Chennai(rail)Kushtagi(road)Sagar,94.00,8.71,Chennai(rail)Medinipur(rail)Sagar,103.00,8.95,Chennai(rail)Durg(road)Sagar,110.00,10.21
