Start City,End City,Route 1,Cost 1,Time 1,Route 2,Cost 2,Time 2,Route 3,Cost 3,Time 3,Route 4,Cost 4,Time 4,Route 5,Cost 5,Time 5
Chennai,Chittorgarh,Chennai(rail)Chittorgarh,146.00,3.03,Chennai(rail)Raipur(rail)Chittorgarh,97.00,8.69,Chennai(rail)Chatrapur(rail)Chittorgarh,105.00,9.30,Chennai(rail)Mahuva(rail)Chittorgarh,107.00,7.87,Chennai(rail)Lucknow(road)Chittorgarh,115.00,8.95
Chennai,Ratnagiri,Chennai(air)Ratnagiri,248.00,1.22,Chennai(rail)Sardarshahar(rail)Ratnagiri,94.00,9.16,Chennai(rail)Raipur(road)Ratnagiri,100.00,8.00,Chennai(rail)Thiruvalla(rail)Ratnagiri,107.00,9.11,Chennai(road)Jaysingpur(rail)Ratnagiri,116.00,9.87
Chennai,Goregaon,Chennai(air)Hyderabad(road)Goregaon,419.00,3.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chennai,Pindwara,Chennai(air)Hyderabad(road)Pindwara,328.00,3.96,Chennai(rail)Sardarshahar(road)Pindwara,105.00,7.07,Chennai(rail)Surajpur(road)Pindwara,106.00,8.49,Chennai(rail)Lucknow(rail)Pindwara,112.00,7.95,Chennai(rail)Raipur(road)Pindwara,119.00,7.02
Chennai,Raipur,Chennai(air)Raipur,324.00,2.64,Chennai(rail)Mumbai(road)Raipur,102.00,10.05,Chennai(rail)Sardarshahar(road)Raipur,106.00,9.96,Chennai(rail)Jagadhri(rail)Raipur,106.00,7.56,Chennai(rail)Surajpur(rail)Raipur,108.00,10.14
Chennai,Gokak,Chennai(rail)Gokak,73.00,3.32,Chennai(rail)Lucknow(road)Gokak,99.00,10.55,Chennai(rail)Surajpur(road)Gokak,107.00,7.53,Chennai(road)Durg(rail)Gokak,109.00,8.85,Chennai(rail)Kushtagi(rail)Gokak,111.00,8.94
Chennai,Lucknow,Chennai(air)Lucknow,358.00,2.31,Chennai(rail)Raipur(rail)Lucknow,85.00,8.56,Chennai(rail)Sardarshahar(rail)Lucknow,91.00,8.55,Chennai(rail)Mumbai(road)Lucknow,99.00,8.82,Chennai(road)Durg(rail)Lucknow,116.00,10.59
Chennai,Delhi,Chennai(air)Delhi,302.00,2.13,Chennai(rail)Raipur(rail)Delhi,108.00,9.98,Chennai(rail)Lucknow(road)Delhi,122.00,8.17,Chennai(rail)Chatrapur(road)Delhi,124.00,10.76,Chennai(rail)Harihar(road)Delhi,129.00,10.46
Chennai,Mumbai,Chennai(air)Ratnagiri(air)Mumbai,632.00,2.63,Chennai(rail)Mumbai,42.00,4.30,Chennai(rail)Surajpur(rail)Mumbai,92.00,10.80,Chennai(rail)Chatrapur(road)Mumbai,107.00,7.44,Chennai(rail)Harihar(rail)Mumbai,116.00,10.19
Chennai,Sagar,Chennai(air)Sagar,309.00,1.47,Chennai(rail)Harihar(rail)Sagar,109.00,9.38,Chennai(road)Orai(rail)Sagar,122.00,8.39,Chennai(road)Patan(rail)Sagar,126.00,12.05,Chennai(rail)Raipur(road)Sagar,129.00,8.71
Chennai,Jalpaiguri,Chennai(air)Ratnagiri(air)Jalpaiguri,499.00,2.83,Chennai(rail)Mumbai(rail)Jalpaiguri,95.00,8.53,Chennai(rail)Chatrapur(rail)Jalpaiguri,100.00,8.86,Chennai(rail)Sardarshahar(road)Jalpaiguri,109.00,8.62,Chennai(rail)Jagadhri(rail)Jalpaiguri,112.00,7.41
Chennai,Pakur,Chennai(rail)Pakur,171.00,3.36,Chennai(rail)Mumbai(rail)Pakur,88.00,8.69,Chennai(rail)Raipur(rail)Pakur,96.00,10.93,Chennai(rail)Lucknow(rail)Pakur,97.00,11.11,Chennai(rail)Sardarshahar(rail)Pakur,114.00,10.89
Chennai,Sardarshahar,Chennai(rail)Sardarshahar,50.00,4.65,Chennai(rail)Mumbai(rail)Sardarshahar,87.00,7.14,Chennai(rail)Surajpur(road)Sardarshahar,110.00,8.13,Chennai(rail)Chatrapur(rail)Sardarshahar,111.00,7.78,Chennai(rail)Jagadhri(road)Sardarshahar,115.00,8.19
Chennai,Sirohi,Chennai(rail)Sirohi,149.00,2.59,Chennai(rail)Sardarshahar(rail)Sirohi,92.00,9.98,Chennai(rail)Lucknow(rail)Sirohi,118.00,10.74,Chennai(rail)Harihar(rail)Sirohi,118.00,8.84,Chennai(rail)Mumbai(rail)Sirohi,120.00,10.92
Chennai,Jaysingpur,Chennai(rail)Jaysingpur,96.00,2.61,Chennai(rail)Raipur(rail)Jaysingpur,97.00,8.42,Chennai(rail)Thiruvalla(rail)Jaysingpur,102.00,9.93,Chennai(rail)Chatrapur(road)Jaysingpur,107.00,10.14,Chennai(road)Vizianagaram(rail)Jaysingpur,111.00,10.48
Chennai,Ramanagara,Chennai(road)Ramanagara,119.00,4.51,Chennai(rail)Chatrapur(rail)Ramanagara,96.00,11.67,Chennai(road)Durg(rail)Ramanagara,104.00,9.34,Chennai(road)Orai(rail)Ramanagara,112.00,5.40,Chennai(rail)Gokak(rail)Ramanagara,119.00,9.10
Chennai,Hyderabad,Chennai(air)Hyderabad,245.00,1.70,Chennai(rail)Surajpur(road)Hyderabad,107.00,9.56,Chennai(rail)Lucknow(rail)Hyderabad,117.00,9.96,Chennai(road)Chittorgarh(rail)Hyderabad,123.00,9.39,Chennai(rail)Raipur(rail)Hyderabad,124.00,11.40
Chennai,Channapatna,Chennai(road)Channapatna,157.00,2.72,Chennai(rail)Raipur(rail)Channapatna,81.00,8.13,Chennai(rail)Lucknow(rail)Channapatna,91.00,8.19,Chennai(rail)Sardarshahar(rail)Channapatna,92.00,9.64,Chennai(rail)Mahuva(rail)Channapatna,110.00,10.32
